,ParticipantID,Trial,FirstChannel,Response,Correct,InterStimInterval
0,8_Ptx_654,0,1,1,Right,0.5
1,8_Ptx_654,1,1,1,Right,0.5
2,8_Ptx_654,2,1,1,Right,0.5
3,8_Ptx_654,3,1,1,Right,0.2
4,8_Ptx_654,4,0,1,Right,0.2
5,8_Ptx_654,5,0,1,Right,0.06
6,8_Ptx_654,6,1,1,Right,0.08
7,8_Ptx_654,7,0,1,Right,0.1
8,8_Ptx_654,8,1,1,Right,0.1
9,8_Ptx_654,9,1,1,Right,0.04
